Security Identifier,Issuer,Type Total,Quantity Average Cos,t (R$) To,tal Cost (R$),Gain / Loss Unit Pric,e (R$) Total,Amount (R$) %Net,Assets
MGLU3,MAGAZ LUIZA,Ação,125.200,"9,32","1.167.148,31","-626.284,31","4,32","540.864,00","0,00"
MRFG3,MARFRIG,Ação,14.000,"10,74","150.311,89","31.268,11","12,97","181.580,00","0,00"
MRVE3,MRV,Ação,11.100,"13,73","152.436,71","-20.679,71","11,87","131.757,00","0,00"
MULT3,MULTIPLAN,Ação,11.600,"20,73","240.512,94","43.803,06","24,51","284.316,00","0,00"
NTCO3,GRUPO NATURA,Ação,36.104,"30,75","1.110.124,53","-554.122,93","15,40","556.001,60","0,00"
PCAR3,P.ACUCAR-CBD,Ação,7.000,"53,09","371.617,79","-205.717,79","23,70","165.900,00","0,00"
PETR3,PETROBRAS,Ação,116.697,"23,81","2.778.146,69","1.564.148,68","37,21","4.342.295,37","0,00"
PETR4,PETROBRAS,Ação,198.000,"20,03","3.965.478,54","2.633.861,46","33,33","6.599.340,00","0,00"
PETZ3,PETCENTER,Ação,15.400,"23,22","357.634,90","-198.860,90","10,31","158.774,00","0,00"
POSI3,POSITIVO TEC,Ação,3.200,"10,15","32.487,16","4.728,84","11,63","37.216,00","0,00"
PRIO3,HRT PETROLE,Ação,36.100,"14,85","536.143,56","530.250,44","29,54","1.066.394,00","0,00"
QUAL3,QUALICORP,Ação,12.000,"23,14","277.668,54","-162.708,54","9,58","114.960,00","0,00"
RADL3,RAIADROGASIL,Ação,51.000,"16,84","858.954,77","296.195,23","22,65","1.155.150,00","0,00"
RAIL3,RUMO S.A.,Ação,53.092,"16,06","852.671,64","239.430,80","20,57","1.092.102,44","0,00"
RAIZ4,RAIZEN,Ação,56.300,"4,69","264.064,82","-3.958,82","4,62","260.106,00","0,00"
RDOR3,HOSPITAL E MATERNIDADE S.,Ação,39.900,"48,83","1.948.171,99","-552.868,99","34,97","1.395.303,00","0,00"
RENT3,LOCALIZA,Ação,37.796,"44,06","1.665.122,53","734.923,47","63,50","2.400.046,00","0,00"
