Date,Holding Name,Asset Class,Ticker,Listing Country,SEDOL,Shares,Holding Value,Weight
19/1/2023,Vaxcyte,Equity,PCVX,,BKPVGH6,24210.0,1078797.6,0.84627436
19/1/2023,Inari Medical,Equity,NARI,,BLDRF10,16288.0,1063443.52,0.83422969
19/1/2023,Shift4 Payments,Equity,FOUR,,BLF0L75,17125.0,1049248.75,0.82309445
19/1/2023,Kanzhun,Equity,BZ,,BM91SH0,45740.0,1025948.2,0.80481608
19/1/2023,Legend Biotech,Equity,LEGN,,BMX9K07,18690.0,1010007.6,0.79231131
19/1/2023,1Life Healthcare,Equity,ONEM,,BKMG1N5,61454.0,992482.1,0.77856324
19/1/2023,Affirm Holdings,Equity,AFRM,,BMF9NM8,73650.0,955977.0,0.74992642
19/1/2023,Beam Therapeutics,Equity,BEAM,,BK6L288,21423.0,953537.73,0.74801291
19/1/2023,Marqeta,Equity,MQ,,BN0TQD2,146381.0,948548.88,0.74409936
19/1/2023,SentinelOne,Equity,S,,BP7L1B8,64765.0,907357.65,0.71178645
19/1/2023,Endeavor Group Holdings,Equity,EDR,,BJQ05Y5,43540.0,906502.8,0.71111586
19/1/2023,Confluent,Equity,CFLT,,BNXH3Z4,42144.0,895138.56,0.70220106
19/1/2023,Signify Health,Equity,SGFY,,BMD8TD0,27430.0,794921.4,0.62358463
19/1/2023,AppLovin,Equity,APP,,BMV3LG4,74121.0,793094.7,0.62215165
19/1/2023,GitLab,Equity,GTLB,,BMTVT22,16553.0,770707.68,0.60458992
19/1/2023,Allegro MicroSystems,Equity,ALGM,,BN4LSB6,22430.0,752302.2,0.59015154
19/1/2023,TPG,Equity,TPG,,BNKBB55,20875.0,687831.25,0.53957661
19/1/2023,Bumble,Equity,BMBL,,BMZ2WT7,29007.0,682824.78,0.53564923
19/1/2023,Global-E Online,Equity,GLBE,,BN770J3,27600.0,673992.0,0.52872026
19/1/2023,Duolingo,Equity,DUOL,,BMCM6P4,7911.0,662150.7,0.51943123
19/1/2023,DigitalOcean,Equity,DOCN,,BNC23Q1,23449.0,653289.14,0.51247968
19/1/2023,Driven Brands Holdings,Equity,DRVN,,BL0P090,21014.0,590493.4,0.46321889
19/1/2023,Lufax Holding,Equity,LU,,BNDK6G5,231771.0,588698.34,0.46181073
19/1/2023,Clear Secure,Equity,YOU,,BLD30T1,20906.0,582441.16,0.45690222
19/1/2023,DoubleVerify Holdings,Equity,DV,,BMDX9Z7,24771.0,572705.52,0.449265
19/1/2023,dLocal,Equity,DLO,,BKVF490,35062.0,566601.92,0.44447696
19/1/2023,Corebridge Financial,Equity,CRBG,,BMTX0G9,27074.0,550955.9,0.43220327
19/1/2023,Reynolds Consumer Products,Equity,REYN,,BKV9674,18345.0,536224.35,0.42064695
19/1/2023,Mobileye Global,Equity,MBLY,,BLFH8G4,15961.0,534374.28,0.41919564
19/1/2023,Freshworks,Equity,FRSH,,BPF0BB7,33204.0,521966.88,0.40946252
19/1/2023,Maravai LifeSciences,Equity,MRVI,,BMCWKZ2,37080.0,520232.4,0.40810189
19/1/2023,Braze,Equity,BRZE,,BPLQR66,16554.0,509863.2,0.39996766
19/1/2023,monday.com,Equity,MNDY,,BMHRYX8,4069.0,505613.94,0.39663429
19/1/2023,Core & Main,Equity,CNM,,BNXKS92,24025.0,504044.5,0.39540312
19/1/2023,ZIM Integrated Shipping Services,Equity,ZIM,,BLC90J0,27625.0,498907.5,0.39137335
